City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
79,Mkushi,ZM,48.15,clear sky,-13.6202,29.3939,Mkushi Police Club
80,Cabedelo,BR,74.07,clear sky,-6.9811,-34.8339,Pousada Camboinha
81,Mehran,IR,88.81,clear sky,33.1222,46.1646,بوتیک زنانه بهار
82,Saint-Philippe,RE,69.39,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
84,Rosita,NI,71.91,overcast clouds,13.9268,-84.4032,Hospedaje Zeledón
85,Manchester,GB,53.83,broken clouds,53.4809,-2.2374,The Gardens Hotel
86,Leningradskiy,RU,35.62,overcast clouds,69.3833,178.4167,Gostinitsa
87,Vanimo,PG,85.26,clear sky,-2.6741,141.3028,Vahmoneh Lodge Vanimo
89,Hinatuan,PH,85.53,overcast clouds,8.3722,126.3342,Villa Juanita Hinatuan
90,Ramhormoz,IR,87.8,clear sky,31.28,49.6035,کافی نت کاریزما
91,Svetlyy,RU,52.97,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
92,Fuerte Olimpo,PY,48.43,clear sky,-21.0415,-57.8738,Hospedaje DAMI
93,Ilulissat,GL,33.82,overcast clouds,69.2167,-51.1,Hotel Arctic
94,Talnakh,RU,68.43,broken clouds,69.4865,88.3972,Talnakh Hotel
95,Tuktoyaktuk,CA,33.8,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
96,Guaruja,BR,59.9,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
97,Sakakah,SA,79.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
99,Sola,VU,80.58,scattered clouds,-13.8833,167.55,Leumerus Bungalows
100,Katsuura,JP,70.63,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
101,Bethel,US,68.36,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
102,Sept-Iles,CA,57.06,overcast clouds,50.2001,-66.3821,Comfort Inn
103,Ponta Do Sol,PT,68.72,few clouds,32.6667,-17.1,Hotel do Campo
104,Castro,BR,38.46,clear sky,-24.7911,-50.0119,CHACARA BAILLY
105,Atar,MR,94.19,clear sky,20.5169,-13.0499,Oumou Elghoura
106,Faanui,PF,79.65,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
107,Dingle,PH,86.76,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
109,Ranong,TH,83.52,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
110,Bay Roberts,CA,51.51,overcast clouds,47.5999,-53.2648,Stonewall Inn
111,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
112,Mehamn,NO,44.51,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
113,Russell,US,83.8,clear sky,32.3502,-85.1999,Macs
114,Barrow,US,30.22,overcast clouds,71.2906,-156.7887,King Eider Inn
115,Hamilton,US,77.72,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
116,Kaspiyskiy,RU,71.62,scattered clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
117,Kaeo,NZ,63.32,scattered clouds,-35.1,173.7833,Bushido Lodge
118,Isangel,VU,80.13,overcast clouds,-19.55,169.2667,Tanna Lodge
119,Brae,GB,50.52,overcast clouds,60.3964,-1.353,Busta House Hotel
120,Kolding,DK,52.16,few clouds,55.4904,9.4722,Hotel Kolding
121,Chapleau,CA,48.69,clear sky,47.8405,-83.4034,Nemegosenda Lake Lodge
122,Chipinge,ZW,49.35,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
123,Sortland,NO,50.09,light rain,68.6949,15.4162,Sortland Hotel
124,Marovoay,MG,64.62,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
126,Rudkobing,DK,54.07,overcast clouds,54.9364,10.7102,Hotel Rudkøbing Skudehavn
127,Cartagena,CO,76.62,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
128,Olafsvik,IS,47.26,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
129,Qaanaaq,GL,24.98,clear sky,77.484,-69.3632,Qaanaaq Hotel
130,East London,ZA,75.51,overcast clouds,-33.0153,27.9116,Tu Casa
131,Xingtai,CN,89.83,clear sky,37.0631,114.4942,Xingzhou Hotel
132,Oranjestad,AW,80.55,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
133,Kodiak,US,63.91,smoke,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
134,Mogadishu,SO,78.96,overcast clouds,2.0371,45.3438,Hotel Juba
