City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mkushi,ZM,-13.6202,29.3939,48.15,84,0,4.34,clear sky
80,Cabedelo,BR,-6.9811,-34.8339,74.07,81,7,6.89,clear sky
81,Mehran,IR,33.1222,46.1646,88.81,15,0,3.6,clear sky
82,Saint-Philippe,RE,-21.3585,55.7679,69.39,88,97,15.5,moderate rain
83,Saskylakh,RU,71.9167,114.0833,68.14,31,2,8.34,clear sky
84,Rosita,NI,13.9268,-84.4032,71.91,99,100,1.88,overcast clouds
85,Manchester,GB,53.4809,-2.2374,53.83,83,57,6.91,broken clouds
86,Leningradskiy,RU,69.3833,178.4167,35.62,84,99,8.66,overcast clouds
87,Vanimo,PG,-2.6741,141.3028,85.26,62,9,8.52,clear sky
88,Verkhoyansk,RU,67.5447,133.385,74.01,24,100,18.54,overcast clouds
89,Hinatuan,PH,8.3722,126.3342,85.53,67,100,3.11,overcast clouds
90,Ramhormoz,IR,31.28,49.6035,87.8,15,0,1.99,clear sky
91,Svetlyy,RU,54.675,20.1347,52.97,87,100,7.05,overcast clouds
92,Fuerte Olimpo,PY,-21.0415,-57.8738,48.43,50,0,5.06,clear sky
93,Ilulissat,GL,69.2167,-51.1,33.82,80,100,10.36,overcast clouds
94,Talnakh,RU,69.4865,88.3972,68.43,35,69,2.33,broken clouds
95,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,100,10.36,overcast clouds
96,Guaruja,BR,-23.9931,-46.2564,59.9,26,96,3.65,overcast clouds
97,Sakakah,SA,29.9697,40.2064,79.57,37,0,11.65,clear sky
98,Paracelis,PH,17.2667,121.4667,85.23,69,78,7.02,broken clouds
99,Sola,VU,-13.8833,167.55,80.58,77,44,12.73,scattered clouds
100,Katsuura,JP,35.1333,140.3,70.63,59,100,9.08,overcast clouds
101,Bethel,US,41.3712,-73.414,68.36,92,75,3.94,broken clouds
102,Sept-Iles,CA,50.2001,-66.3821,57.06,69,98,7.4,overcast clouds
103,Ponta Do Sol,PT,32.6667,-17.1,68.72,82,17,1.72,few clouds
104,Castro,BR,-24.7911,-50.0119,38.46,69,0,4.38,clear sky
105,Atar,MR,20.5169,-13.0499,94.19,10,6,6.6,clear sky
106,Faanui,PF,-16.4833,-151.75,79.65,75,59,21.36,light rain
107,Dingle,PH,10.9995,122.6711,86.76,66,51,5.32,broken clouds
108,Gubskaya,RU,44.3164,40.6358,61.63,86,100,3.24,overcast clouds
109,Ranong,TH,9.9658,98.6348,83.52,76,85,6.06,overcast clouds
110,Bay Roberts,CA,47.5999,-53.2648,51.51,86,100,4.0,overcast clouds
111,Puerto Ayora,EC,-0.7393,-90.3518,72.55,86,98,7.0,overcast clouds
112,Mehamn,NO,71.0357,27.8492,44.51,95,100,25.3,overcast clouds
113,Russell,US,32.3502,-85.1999,83.8,88,0,0.0,clear sky
114,Barrow,US,71.2906,-156.7887,30.22,86,100,6.91,overcast clouds
115,Hamilton,US,39.1834,-84.5333,77.72,86,100,3.44,overcast clouds
116,Kaspiyskiy,RU,45.3929,47.3707,71.62,54,50,4.83,scattered clouds
117,Kaeo,NZ,-35.1,173.7833,63.32,58,37,18.5,scattered clouds
118,Isangel,VU,-19.55,169.2667,80.13,78,100,1.99,overcast clouds
119,Brae,GB,60.3964,-1.353,50.52,95,100,19.28,overcast clouds
120,Kolding,DK,55.4904,9.4722,52.16,87,20,8.05,few clouds
121,Chapleau,CA,47.8405,-83.4034,48.69,83,8,2.98,clear sky
122,Chipinge,ZW,-20.1883,32.6236,49.35,87,0,2.15,clear sky
123,Sortland,NO,68.6949,15.4162,50.09,93,100,1.81,light rain
124,Marovoay,MG,-16.1,46.6333,64.62,67,2,6.85,clear sky
125,Chokurdakh,RU,70.6333,147.9167,65.75,20,12,11.25,few clouds
126,Rudkobing,DK,54.9364,10.7102,54.07,81,91,15.19,overcast clouds
127,Cartagena,CO,10.3997,-75.5144,76.62,100,75,0.0,broken clouds
128,Olafsvik,IS,64.8945,-23.7142,47.26,88,100,14.41,overcast clouds
129,Qaanaaq,GL,77.484,-69.3632,24.98,74,1,7.38,clear sky
130,East London,ZA,-33.0153,27.9116,75.51,30,100,11.18,overcast clouds
131,Xingtai,CN,37.0631,114.4942,89.83,22,3,4.59,clear sky
132,Oranjestad,AW,12.524,-70.027,80.55,83,56,25.19,broken clouds
133,Kodiak,US,57.79,-152.4072,63.91,55,0,9.22,smoke
134,Mogadishu,SO,2.0371,45.3438,78.96,80,100,20.31,overcast clouds
135,Bandarbeyla,SO,9.4942,50.8122,79.93,70,99,25.9,overcast clouds
136,Sambava,MG,-14.2667,50.1667,68.43,82,0,10.04,clear sky
137,Khandyga,RU,62.6667,135.6,60.64,60,100,5.7,overcast clouds
138,Date,JP,42.4681,140.8681,60.37,75,100,4.85,overcast clouds
139,Kuytun,RU,54.3419,101.5036,68.79,69,100,5.46,overcast clouds
140,Mahebourg,MU,-20.4081,57.7,70.25,80,56,18.75,light rain
141,Airai,TL,-8.9266,125.4092,68.9,55,67,4.29,broken clouds
142,Karlovo,BG,42.6333,24.8,58.89,88,38,4.74,scattered clouds
143,Caceres,ES,39.522,-6.3748,74.88,43,2,7.23,clear sky
144,Touros,BR,-5.1989,-35.4608,75.99,82,41,10.07,scattered clouds
145,Ribeira Grande,PT,38.5167,-28.7,62.94,78,65,22.62,broken clouds
146,Torbay,CA,47.6666,-52.7314,50.76,88,96,7.0,overcast clouds
147,Buje,HR,45.41,13.6619,67.66,69,4,11.5,clear sky
148,Victoria,HK,22.2855,114.1577,87.33,83,100,20.0,overcast clouds
149,Podor,MR,16.6527,-14.9587,76.69,67,76,16.82,broken clouds
150,Nhulunbuy,AU,-12.2333,136.7667,84.81,61,75,16.11,broken clouds
151,Petropavlovka,RU,50.6114,105.3196,71.91,37,69,3.96,broken clouds
